bibcode,title,first_author,year,pub,doi,abstract,citation_count,epoch_search,is_seed,has_abstract,site_name,best_fit_martian_epoch,analogue_recognition_status,epoch_rationale,ph_range,temperature_profile,mineralogy_and_geochemistry,water_activity_and_aridity,feasibility_score,verbatim_quote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998ChGeo.145..325P,['The chemical composition of subducting sediment and its consequences for the crust and mantle'],"Plank, Terry",1998,Chemical Geology,10.1016/S0009-2541(97)00150-2,"Subducted sediments play an important role in arc magmatism and crust-mantle recycling. Models of continental growth, continental composition, convergent margin magmatism and mantle heterogeneity all require a better understanding of the mass and chemical fluxes associated with subducting sediments. We have evaluated subducting sediments on a global basis in order to better define their chemical systematics and to determine both regional and global average compositions. We then use these compositions to assess the importance of sediments to arc volcanism and crust-mantle recycling, and to re-evaluate the chemical composition of the continental crust. The large variations in the chemical composition of marine sediments are for the most part linked to the main lithological constituents. The alkali elements (K, Rb and Cs) and high field strength elements (Ti, Nb, Hf, Zr) are closely linked to the detrital phase in marine sediments; Th is largely detrital but may be enriched in the hydrogenous Fe-Mn component of sediments; REE patterns are largely continental, but abundances are closely linked to fish debris phosphate; U is mostly detrital, but also dependent on the supply and burial rate of organic matter; Ba is linked to both biogenic barite and hydrothermal components; Sr is linked to carbonate phases. Thus, the important geochemical tracers follow the lithology of the sediments. Sediment lithologies are controlled in turn by a small number of factors: proximity of detrital sources (volcanic and continental); biological productivity and preservation of carbonate and opal; and sedimentation rate. Because of the link with lithology and the wealth of lithological data routinely collected for ODP and DSDP drill cores, bulk geochemical averages can be calculated to better than 30% for most elements from fewer than ten chemical analyses for a typical drill core (100-1000 m). Combining the geochemical systematics with convergence rate and other parameters permits calculation of regional compositional fluxes for subducting sediment. These regional fluxes can be compared to the compositions of arc volcanics to asses the importance of sediment subduction to arc volcanism. For the 70% of the trenches worldwide where estimates can be made, the regional fluxes also provide the basis for a global subducting sediment (GLOSS) composition and flux. GLOSS is dominated by terrigenous material (76 wt% terrigenous, 7 wt% calcium carbonate, 10 wt% opal, 7 wt% mineral-bound H <SUB>2</SUB>O <SUP>+</SUP>), and therefore similar to upper continental crust (UCC) in composition. Exceptions include enrichment in Ba, Mn and the middle and heavy REE, and depletions in detrital elements diluted by biogenic material (alkalis, Th, Zr, Hf). Sr and Pb are identical in GLOSS and UCC as a result of a balance between dilution and enrichment by marine phases. GLOSS and the systematics of marine sediments provide an independent approach to the composition of the upper continental crust for detrital elements. Significant discrepancies of up to a factor of two exist between the marine sediment data and current upper crustal estimates for Cs, Nb, Ta and Ti. Suggested revisions to UCC include Cs (7.3 ppm), Nb (13.7 ppm), Ta (0.96 ppm) and TiO <SUB>2</SUB> (0.76 wt%). These revisions affect recent bulk continental crust estimates for La/Nb and U/Nb, and lead to an even greater contrast between the continents and mantle for these important trace element ratios. GLOSS and the regional sediment data also provide new insights into the mantle sources of oceanic basalts. The classical geochemical distinction between `pelagic' and `terrigenous' sediment sources is not valid and needs to be replaced by a more comprehensive understanding of the compositional variations in complete sedimentary columns. In addition, isotopic arguments based on surface sediments alone can lead to erroneous conclusions. Specifically, the Nd/Hf ratio of GLOSS relaxes considerably the severe constraints on the amount of sediment recycling into the mantle based on earlier estimates from surface sediment compositions.",2824,noachian,FALSE,TRUE,Global Subducting Sediment (GLOSS),None,Implicit,"The paper focuses on global subducting marine sediments and plate tectonic recycling processes on Earth. Because Mars lacks active plate tectonics and subduction systems, this global marine sediment model does not directly map to any Martian epoch, although individual components like hydrothermal inputs could weakly relate to Noachian hydrothermal activity.",Not specified,Not specified,"Terrigenous material, calcium carbonate, opal, mineral-bound H2O, barite, Fe-Mn components, and trace elements (Ba, Sr, Pb, Cs, Nb, Ta, Ti).",Not specified (marine subduction setting),1,Ba is linked to both biogenic barite and hydrothermal components; Sr is linked to carbonate phases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009ESRv...96..141D,['Processes of carbonate precipitation in modern microbial mats'],"Dupraz, Christophe",2009,Earth Science Reviews,10.1016/j.earscirev.2008.10.005,"Microbial mats are ecosystems that arguably greatly affected the conditions of the biosphere on Earth through geological time. These laminated organosedimentary systems, which date back to &gt; 3.4 Ga bp, are characterized by high metabolic rates, and coupled to this, rapid cycling of major elements on very small (mm-µm) scales. The activity of the mat communities has changed Earth's redox conditions (i.e. oxidation state) through oxygen and hydrogen production. Interpretation of fossil microbial mats and their potential role in alteration of the Earth's geochemical environment is challenging because these mats are generally not well preserved. Preservation of microbial mats in the fossil record can be enhanced through carbonate precipitation, resulting in the formation of lithified mats, or microbialites. Several types of microbially-mediated mineralization can be distinguished, including biologically-induced and biologically influenced mineralization. Biologically-induced mineralization results from the interaction between biological activity and the environment. Biologically-influenced mineralization is defined as passive mineralization of organic matter (biogenic or abiogenic in origin), whose properties influence crystal morphology and composition. We propose to use the term organomineralization sensu lato as an umbrella term encompassing biologically influenced and biologically induced mineralization. Key components of organomineralization sensu lato are the ""alkalinity"" engine (microbial metabolism and environmental conditions impacting the calcium carbonate saturation index) and an organic matrix comprised of extracellular polymeric substances (EPS), which may provide a template for carbonate nucleation. Here we review the specific role of microbes and the EPS matrix in various mineralization processes and discuss examples of modern aquatic (freshwater, marine and hypersaline) and terrestrial microbialites.",1106,noachian,FALSE,TRUE,Modern aquatic and terrestrial microbialites,Noachian,Implicit,"The abstract describes organomineralization and carbonate precipitation in microbial mats dating back to >3.4 Ga bp, aligning with the Noachian epoch on Mars. The 'alkalinity' engine driving calcium carbonate saturation represents the neutral-to-alkaline aqueous environments characteristic of the Noachian. These lithified mats (microbialites) serve as prime analogues for potential ancient Martian biosignatures in carbonate-bearing Noachian terrains.",Alkaline (implied by 'alkalinity' engine and carbonate precipitation),Not specified,"Carbonates, calcium carbonate, organic matrix (extracellular polymeric substances / EPS)","Sustained water activity (aquatic, marine, and hypersaline environments)",4,"Key components of organomineralization sensu lato are the ""alkalinity"" engine (microbial metabolism and environmental conditions impacting the calcium carbonate saturation index) and an organic matrix comprised of extracellular polymeric substances (EPS), which may provide a template for carbonate nucleation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000Sedim..47..179R,['Microbial carbonates: the geological record of calcified bacterial-algal mats and biofilms'],"Riding, Robert",2000,Sedimentology,10.1046/j.1365-3091.2000.00003.x,"Summary Deposits produced by microbial growth and metabolism have been important components of carbonate sediments since the Archaean. Geologically best known in seas and lakes, microbial carbonates are also important at the present day in fluviatile, spring, cave and soil environments. The principal organisms involved are bacteria, particularly cyanobacteria, small algae and fungi, that participate in the growth of microbial biofilms and mats. Grain-trapping is locally important, but the key process is precipitation, producing reefal accumulations of calcified microbes and enhancing mat accretion and preservation. Various metabolic processes, such as photosynthetic uptake of CO<SUB>2</SUB> and/or HCO<SUB>3</SUB><SUP>-</SUP> by cyanobacteria, and ammonification, denitrification and sulphate reduction by other bacteria, can increase alkalinity and stimulate carbonate precipitation. Extracellular polymeric substances, widely produced by microbes for attachment and protection, are important in providing nucleation sites and facilitating sediment trapping. Microbial carbonate microfabrics are heterogeneous. They commonly incorporate trapped particles and in situ algae and invertebrates, and crystals form around bacterial cells, but the main component is dense, clotted or peloidal micrite resulting from calcification of bacterial cells, sheaths and biofilm, and from phytoplankton-stimulated whiting nucleation. Interpretation of these texturally convergent and often inscrutable fabrics is a challenge. Conspicuous accumulations are large domes and columns with laminated (stromatolite), clotted (thrombolite) and other macrofabrics, which may be either agglutinated or mainly composed of calcified or spar-encrusted microbes. Stromatolite lamination appears to be primary, but clotted thrombolite fabrics can be primary or secondary. Microbial precipitation also contributes to hot-spring travertine, cold-spring mound, calcrete, cave crust and coated grain deposits, as well as influencing carbonate cementation, recrystallization and replacement. Microbial carbonate is biologically stimulated but also requires favourable saturation state in ambient water, and thus relies uniquely on a combination of biotic and abiotic factors. This overriding environmental control is seen at the present day by the localization of microbial carbonates in calcareous streams and springs and in shallow tropical seas, and in the past by temporal variation in abundance of marine microbial carbonates. Patterns of cyanobacterial calcification and microbial dome formation through time appear to reflect fluctuations in seawater chemistry. Stromatolites appeared at ∼3450 Ma and were generally diverse and abundant from 2800 to 1000 Ma. Inception of a Proterozoic decline variously identified at 2000, 1000 and 675 Ma, has been attributed to eukaryote competition and/or reduced lithification. Thrombolites and dendrolites mainly formed by calcified cyanobacteria became important early in the Palaeozoic, and reappeared in the Late Devonian. Microbial carbonates retained importance through much of the Mesozoic, became scarcer in marine environments in the Cenozoic, but locally re-emerged as large agglutinated domes, possibly reflecting increased algal involvement, and thick micritic reef crusts in the late Neogene. Famous modern examples at Shark Bay and Lee Stocking Island are composite coarse agglutinated domes and columns with complex bacterial-algal mats occurring in environments that are both stressed and current-swept: products of mat evolution, ecological refugia, sites of enhanced early lithification or all three?",1002,noachian,FALSE,TRUE,Shark Bay and Lee Stocking Island,Noachian,Implicit,"The deposition of microbial carbonates, including stromatolites, hot-spring travertines, and cold-spring mounds, represents a sustained aqueous environment with neutral-to-alkaline conditions. This geochemical setting directly mirrors the Noachian epoch of Mars, which featured widespread liquid water, neutral-to-alkaline pH, and conditions favorable for carbonate precipitation. The processes of alkalinity enhancement and carbonate mineralization described in the text are prime analogues for potential ancient Martian biosignatures.",Alkaline (exact pH not specified),Ambient to hydrothermal (hot-spring and cold-spring environments mentioned),"Carbonates, micrite, travertine, calcrete","Sustained water activity (marine, lacustrine, and spring systems)",3,"Microbial precipitation also contributes to hot-spring travertine, cold-spring mound, calcrete, cave crust and coated grain deposits, as well as influencing carbonate cementation, recrystallization and replacement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992PalOc...7..163D,['Barium in Deep-Sea Sediment: A Geochemical Proxy for Paleoproductivity'],"Dymond, Jack",1992,Paleoceanography,10.1029/92PA00181,"We used sediment traps to define the particulate fluxes of barium and organic carbon and investigate the use of barium as a proxy for ocean fertility. Strong correlations between C<SUB>org</SUB> and Ba fluxes indicate a link between upper ocean biological processes and barium flux to the seafloor. The ratio of organic carbon to barium decreases systematically with water depth. Data from 10 sites indicate that organic debris settling from the 200-m depth has a C<SUB>org</SUB> /Ba ratio of approximately 200. The systematic decrease in this ratio with increasing water depth results from the simultaneous decay of organic matter and uptake of Ba in settling particles. This behavior provides additional evidence that the formation of barite in oceanic particles is a consequence of decomposition/uptake in microenvironments rather than the secretion of barite by specific organisms. The decrease of the Corg/Ba ratio with depth is greatest in the North Pacific followed by the equatorial Pacific and is lowest in the western Atlantic. Since this spatial pattern is consistent with the variations in the deep-ocean barium contents which increase along the path of bottom water flow from the Atlantic to the North Pacific, it suggests that the particulate barium uptake and flux is enhanced by higher barium contents in the intermediate and deep waters of the ocean. Consequently, we have combined our particle flux data with existing water column Ba data to define an algorithm relating new productivity, dissolved barium contents, water depth, and particulate barium flux. This relationship provides a basis of applying barium flux measurements in sediments to estimating new production. In order to use barium as an indicator of productivity, it will be necessary to evaluate inputs from hydrothermal and aluminosilicate sources and xenophyophors. The application of a sequential leach procedure to the trap material indicates that 50-70% of the Ba in settling particles is in the form of barite and the remaining is adsorbed or bound to carbonates. Normative analysis demonstrates that in nearshore areas the contribution of barium from aluminosilicate sources can dominate that from biogenic inputs. It appears that normative estimates of biogenic barium contents can be made with accuracy if less than 50% of the Ba is associated with aluminosilicates; i.e., is of terrigenous origin. Since diagenetic mobilization of Ba can occur in reduced and suboxic sediments, highly productive nearshore areas also are likely to be inappropriate sites to use Ba measurements as productivity indicators. Comparisons between the rain rates of particulate Ba to the seafloor and the burial rate indicate that approximately 30% of the Ba rain is preserved. Although the preservation factor does not appear to be constant, it may be possible to predict the extent of preservation from an empirical relationship with the mass accumulation rate. These observations indicate that measurement of Ba burial fluxes in sediments can provide quantitative information on the paleoproductivity of the oceans. Joining the relationship between barium rain and burial with the barium and organic carbon algorithm, we make estimates of the new production in the northern California Current during the last 18,000 years. This calculation suggests that new production was at least a factor of 2 lower at this site during the last glacial maximum.",987,noachian,FALSE,TRUE,"Deep-sea sediment (North Pacific, equatorial Pacific, western Atlantic)",Noachian,Implicit,"The abstract describes deep-sea sedimentary environments with inputs from hydrothermal and aluminosilicate sources, alongside carbonate-bound minerals. This complex aqueous geochemistry, characterized by sustained water activity and hydrothermal interactions, serves as an implicit proxy for Noachian Mars, where neutral-to-alkaline weathering, hydrothermal systems, and clay-carbonate depositional environments were prevalent.",Not specified,Not specified,"barite, barium, organic carbon, carbonates, aluminosilicates",Sustained marine water activity (deep-sea water column),2,"In order to use barium as an indicator of productivity, it will be necessary to evaluate inputs from hydrothermal and aluminosilicate sources and xenophyophors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015ApJ...807...45D,['The Occurrence of Potentially Habitable Planets Orbiting M Dwarfs Estimated from the Full Kepler Dataset and an Empirical Measurement of the Detection Sensitivity'],"Dressing, Courtney D.",2015,The Astrophysical Journal,10.1088/0004-637X/807/1/45,"We present an improved estimate of the occurrence rate of small planets orbiting small stars by searching the full four-year Kepler data set for transiting planets using our own planet detection pipeline and conducting transit injection and recovery simulations to empirically measure the search completeness of our pipeline. We identified 156 planet candidates, including one object that was not previously identified as a Kepler Object of Interest. We inspected all publicly available follow-up images, observing notes, and centroid analyses, and corrected for the likelihood of false positives. We evaluated the sensitivity of our detection pipeline on a star-by-star basis by injecting 2000 transit signals into the light curve of each target star. For periods shorter than 50 days, we find {0.56}<SUB>-0.05</SUB><SUP>+0.06</SUP> Earth-size planets (1-1.5 R<SUB>⊕</SUB>) and {0.46}<SUB>-0.05</SUB><SUP>+0.07</SUP> super-Earths (1.5-2 R<SUB>⊕</SUB>) per M dwarf. In total, we estimate a cumulative planet occurrence rate of 2.5 ± 0.2 planets per M dwarf with radii 1-4 R<SUB>⊕</SUB> and periods shorter than 200 days. Within a conservatively defined habitable zone (HZ) based on the moist greenhouse inner limit and maximum greenhouse outer limit, we estimate an occurrence rate of {0.16}<SUB>-0.07</SUB><SUP>+0.17</SUP> Earth-size planets and {0.12}<SUB>-0.05</SUB><SUP>+0.10</SUP> super-Earths per M dwarf HZ. Adopting the broader insolation boundaries of the recent Venus and early Mars limits yields a higher estimate of {0.24}<SUB>-0.08</SUB><SUP>+0.18</SUP> Earth-size planets and {0.21}<SUB>-0.06</SUB><SUP>+0.11</SUP> super-Earths per M dwarf HZ. This suggests that the nearest potentially habitable non-transiting and transiting Earth-size planets are 2.6 ± 0.4 pc and {10.6}<SUB>-1.8</SUB><SUP>+1.6</SUP> pc away, respectively. If we include super-Earths, these distances diminish to 2.1 ± 0.2 pc and {8.6}<SUB>-0.8</SUB><SUP>+0.7</SUP> pc.",945,noachian,FALSE,TRUE,None,None,Explicit,"The paper is an astronomical study estimating the occurrence rate of habitable zone exoplanets orbiting M dwarfs using Kepler data. It does not investigate or describe a terrestrial analogue site, though it references 'early Mars limits' as a boundary condition for defining the habitable zone.",Not specified,Not specified,Not specified,Not specified,1,Adopting the broader insolation boundaries of the recent Venus and early Mars limits yields a higher estimate of {0.24}-0.08+0.18 Earth-size planets and {0.21}-0.06+0.11 super-Earths per M dwarf HZ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000Natur.407..859S,['Glacial/interglacial variations in atmospheric carbon dioxide'],"Sigman, Daniel M.",2000,Nature,10.1038/35038000,"Twenty years ago, measurements on ice cores showed that the concentration of carbon dioxide in the atmosphere was lower during ice ages than it is today. As yet, there is no broadly accepted explanation for this difference. Current investigations focus on the ocean's `biological pump', the sequestration of carbon in the ocean interior by the rain of organic carbon out of the surface ocean, and its effect on the burial of calcium carbonate in marine sediments. Some researchers surmise that the whole-ocean reservoir of algal nutrients was larger during glacial times, strengthening the biological pump at low latitudes, where these nutrients are currently limiting. Others propose that the biological pump was more efficient during glacial times because of more complete utilization of nutrients at high latitudes, where much of the nutrient supply currently goes unused. We present a version of the latter hypothesis that focuses on the open ocean surrounding Antarctica, involving both the biology and physics of that region.",937,noachian,FALSE,TRUE,Antarctica (Southern Ocean),Amazonian,Implicit,"The study focuses on glacial/interglacial variations and Antarctic ice core records, which serve as terrestrial cryosphere proxies. Although the paper's mechanism is heavily biological and marine-focused (the ocean's biological pump), the broader context of ice ages, polar ice core records, and atmospheric CO2 fluctuations mirrors the volatile cycling, glaciation events, and climate transitions characteristic of the Martian Amazonian epoch.",Not specified,Glacial conditions (sub-zero temperatures associated with ice ages and Antarctica),"Calcium carbonate, organic carbon, algal nutrients",High water activity (marine environment),1,"Twenty years ago, measurements on ice cores showed that the concentration of carbon dioxide in the atmosphere was lower during ice ages than it is today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994GBioC...8...65A,['Redfield ratios of remineralization determined by nutrient data analysis'],"Anderson, Laurence A.",1994,Global Biogeochemical Cycles,10.1029/93GB03318,"A nonlinear inverse method is applied to nutrient data upon approximately 20 neutral surfaces in each of the South Atlantic, Indian, and Pacific basins, between 400 and 4000 m depth. By accounting for the gradients in nutrients due to the mixing of ""preformed"" concentrations of the major water masses, the nutrient changes due to biological activity are examined, and the time-mean, basin-wide Redfield ratios calculated. It is found that the P/N/C<SUB>org</SUB>/-O<SUB>2</SUB> ratios of nutrient regeneration between 400 and 4000 m (corrected for the effect of denitrification) are approximately constant with depth and basin, at a value of 1/16 ± 1/117 ± 14/170 ± 10. These ratios agree with those of fresh organic matter, suggesting that the flux of organic material to the deep ocean may be dominated by fast-sinking matter produced by sporadic, high-productivity events. Sedimentary denitrification reduces the N/P utilization ratio to 12 ± 2 between 1000 and 3000 m. In the Indian and Pacific basins the C<SUB>org</SUB>/C<SUB>inorg</SUB> regeneration ratio decreases from approximately 7 ± 3 at 400 m to 3 ± 1 at 1000 m and to 1 ± 0.5 at 4000 m, suggesting a significant amount of calcium carbonate dissolution above the calcite lysoclines in the Indian and Pacific oceans.",933,noachian,FALSE,TRUE,"South Atlantic, Indian, and Pacific Ocean Basins",None,Implicit,"The study focuses on the stoichiometry of nutrient remineralization (Redfield ratios) and calcium carbonate dissolution in the deep terrestrial oceans (400 to 4000 m depth). This modern marine environment, driven by complex biological cycles and global thermohaline circulation, does not map to any Martian epoch. Mars lacked persistent, deep, oxygenated global oceans with active biological pump dynamics during the Noachian, Hesperian, or Amazonian epochs.",Not specified (calcite lysocline chemistry implied),Not specified,"calcium carbonate, calcite, organic carbon, inorganic carbon, nitrogen, phosphorus, oxygen",Saturated aqueous marine environment (water activity ~1.0),1,"A nonlinear inverse method is applied to nutrient data upon approximately 20 neutral surfaces in each of the South Atlantic, Indian, and Pacific basins, between 400 and 4000 m depth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010EcolL..13.1419K,['Meta-analysis reveals negative yet variable effects of ocean acidification on marine organisms'],"Kroeker, Kristy J.",2010,Ecology Letters,10.1111/j.1461-0248.2010.01518.x,"Ecology Letters (2010) 13: 1419─1434 Abstract Ocean acidification is a pervasive stressor that could affect many marine organisms and cause profound ecological shifts. A variety of biological responses to ocean acidification have been measured across a range of taxa, but this information exists as case studies and has not been synthesized into meaningful comparisons amongst response variables and functional groups. We used meta-analytic techniques to explore the biological responses to ocean acidification, and found negative effects on survival, calcification, growth and reproduction. However, there was significant variation in the sensitivity of marine organisms. Calcifying organisms generally exhibited larger negative responses than non-calcifying organisms across numerous response variables, with the exception of crustaceans, which calcify but were not negatively affected. Calcification responses varied significantly amongst organisms using different mineral forms of calcium carbonate. Organisms using one of the more soluble forms of calcium carbonate (high-magnesium calcite) can be more resilient to ocean acidification than less soluble forms (calcite and aragonite). Additionally, there was variation in the sensitivities of different developmental stages, but this variation was dependent on the taxonomic group. Our analyses suggest that the biological effects of ocean acidification are generally large and negative, but the variation in sensitivity amongst organisms has important implications for ecosystem responses.",824,noachian,FALSE,TRUE,Global Oceans (Ocean Acidification Meta-analysis),None,Implicit,"The paper evaluates biological responses to modern ocean acidification, which involves a mild shift in marine pH (typically from ~8.1 to ~7.7). This neutral-to-alkaline range does not align with the highly acidic conditions of the Hesperian (pH 1-4), nor does it represent the hydrothermal, serpentinizing, or highly alkaline lacustrine environments characteristic of Noachian proxies. Because it focuses on modern marine ecosystems rather than extreme terrestrial geological analogues, it does not fit any Martian epoch.",pH ~7.7 - 8.1,Not specified,"Calcium carbonate, high-magnesium calcite, calcite, aragonite","Marine environment (high water activity, aw ~1.0)",1,"We used meta-analytic techniques to explore the biological responses to ocean acidification, and found negative effects on survival, calcification, growth and reproduction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005Sci...307.1428K,['A Serpentinite-Hosted Ecosystem: The Lost City Hydrothermal Field'],"Kelley, Deborah S.",2005,Science,10.1126/science.1102556,"The serpentinite-hosted Lost City hydrothermal field is a remarkable submarine ecosystem in which geological, chemical, and biological processes are intimately interlinked. Reactions between seawater and upper mantle peridotite produce methane- and hydrogen-rich fluids, with temperatures ranging from &lt;40° to 90°C at pH 9 to 11, and carbonate chimneys 30 to 60 meters tall. A low diversity of microorganisms related to methane-cycling Archaea thrive in the warm porous interiors of the edifices. Macrofaunal communities show a degree of species diversity at least as high as that of black smoker vent sites along the Mid-Atlantic Ridge, but they lack the high biomasses of chemosynthetic organisms that are typical of volcanically driven systems.",788,noachian,FALSE,TRUE,Lost City Hydrothermal Field,Noachian,Implicit,"The Lost City Hydrothermal Field represents a premier terrestrial analogue for Noachian Mars due to its active serpentinization processes. During the Noachian, Mars possessed a basaltic/ultramafic crust and abundant liquid water, facilitating serpentinization reactions that generated alkaline fluids, hydrogen, and methane. The alkaline pH (9 to 11) and carbonate chimney precipitation at Lost City directly mirror the geochemical conditions inferred for Noachian environments like Nili Fossae, where carbonates and serpentine minerals have been detected.",pH 9 to 11,temperatures ranging from <40° to 90°C,"Serpentinite, peridotite, carbonate, methane- and hydrogen-rich fluids",Submarine hydrothermal system with sustained high water activity (saturated),5,"Reactions between seawater and upper mantle peridotite produce methane- and hydrogen-rich fluids, with temperatures ranging from <40° to 90°C at pH 9 to 11, and carbonate chimneys 30 to 60 meters tall.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989GeCoA..53..151M,['<SUP>13</SUP>C and <SUP>18</SUP>O isotopic disequilibrium in biological carbonates: I. Patterns'],"McConnaughey, Ted",1989,Geochimica et Cosmochimica Acta,10.1016/0016-7037(89)90282-2,"Biological carbonates frequently precipitate out of <SUP>18</SUP>O and <SUP>13</SUP>C equilibrium with ambient waters. Two patterns of isotopic disequilibrium are particularly common. ""Kinetic"" disequilibria, so designated because they apparently result from kinetic isotope effects during CO <SUB>2</SUB> hydration and hydroxylation, involve simultaneous depletions of <SUP>18</SUP>O and <SUP>13</SUP>C as large as 4%. and 10 to 15%., respectively. Rapid skeletogenesis favors strong kinetic effects, and approximately linear correlations between skeletal δ <SUP>18</SUP>O and δ <SUP>13</SUP>C are common in carbonates showing mainly the kinetic pattern. ""Metabolic"" effects involve additional positive or negative modulation of skeletal δ <SUP>13</SUP>C, reflecting changes in the δ <SUP>13</SUP>C of dissolved inorganic carbon, caused mainly by photosynthesis and respiration. Kinetic isotope disequilibria tend to be fairly consistent in rapidly growing parts of photosynthetic corals, and time dependent isotopic variations therefore reflect changes in environmental conditions. δ <SUP>18</SUP>O variations from Galápagos corals yield meaningful clues regarding seawater temperature, while δ <SUP>13</SUP>C variations reflect changes in photosynthesis, modulated by cloudiness.",777,noachian,FALSE,TRUE,Galapagos (marine coral reefs),Noachian,Implicit,"The paper examines carbon and oxygen isotopic disequilibrium in biological carbonates. Carbonate precipitation is highly characteristic of the Noachian epoch on Mars, which featured neutral-to-alkaline aqueous environments. Understanding the kinetic and metabolic isotopic fractionation patterns in terrestrial carbonates is crucial for establishing baselines to differentiate abiotic geochemical processes from potential biogenic signatures in ancient Martian carbonate-bearing units.",Not specified,Not specified,"Carbonates, dissolved inorganic carbon, CO2, 18O, 13C",Not specified (marine environment),2,Biological carbonates frequently precipitate out of 18O and 13C equilibrium with ambient waters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
