bibcode,abstract,author,doi,pub,title,year,citation_count,source
2015Icar..257..396D,"While the present-day surface of Venus is certainly incompatible with terrestrial biology, the planet may have possessed oceans in the past and provided conditions suitable for the origin of life. Venusian life may persist today high in the atmosphere where the temperature and pH regime is tolerable to terrestrial extremophile microbes: an aerial habitable zone. Here we argue that on the basis of the combined biological hazard of high temperature and high acidity this habitable zone lies between 51 km (65 °C) and 62 km (-20 °C) altitude. Compared to Earth, this potential venusian biosphere may be exposed to substantially more comic ionising radiation: Venus has no protective magnetic field, orbits closer to the Sun, and the entire habitable region lies high in the atmosphere - if this narrow band is sterilised there is no reservoir of deeper life that can recolonise afterwards. Here we model the propagation of particle radiation through the venusian atmosphere, considering both the background flux of high-energy galactic cosmic rays and the transient but exceptionally high-fluence bursts of extreme solar particle events (SPE), such as the Carrington Event of 1859 and that inferred for AD 775. We calculate the altitude profiles of both energy deposition into the atmosphere and the absorbed radiation dose to assess this astrophysical threat to the potential high-altitude venusian biosphere. We find that at the top of the habitable zone (62 km altitude; 190 g/cm<SUP>2</SUP> shielding depth) the radiation dose from the modelled Carrington Event with a hard spectrum (matched to the February 1956 SPE) is over 18,000 times higher than the background from GCR, and 50,000 times higher for the modelled 775 AD event. However, even though the flux of ionising radiation can be sterilizing high in the atmosphere, the total dose delivered at the top of the habitable zone by a worst-case SPE like the 775 AD event is 0.09 Gy, which is not likely to present a significant survival challenge. Nonetheless, the extreme ionisation could force atmospheric chemistry that may perturb a venusian biosphere in other ways. The energy deposition profiles presented here are also applicable to modelling efforts to understand how fundamental planetary atmospheric processes such as atmospheric chemistry, cloud microphysics and atmospheric electrical systems are affected by extreme solar particle events. The companion paper to this study, Constraints on a potential aerial biosphere on Venus: II. Solar ultraviolet radiation (Patel et al., in preparation), considers the threat posed by penetration of solar UV radiation. The results of these twin studies are based on Venus but are also applicable to extrasolar terrestrial planets near the inner edge of the circumstellar habitable zone.","['Dartnell, Lewis R.', 'Nordheim, Tom Andre', 'Patel, Manish R.', 'Mason, Jonathon P.', 'Coates, Andrew J.', 'Jones, Geraint H.']",['10.1016/j.icarus.2015.05.006'],Icarus,['Constraints on a potential aerial biosphere on Venus: I. Cosmic rays'],2015,43,cites_2014IJAsB..13...81P
2024IJAsB..23....3M,"Although astrobiology studies how life functions and evolves, ecology is still largely overlooked in astrobiology research. Here we present an argument for astroecology, a merger of ecology and astrobiology, a self-aware scientific endeavour. Ecology is rarely mentioned in influential documents like the NASA Astrobiology Strategy (2015), and terms such as 'niche' can end up being used in a less precise fashion. As ecology deals with sequential levels of organization, we suggest astrobiologically-relevant problems for each of these levels. Organismal ecology provides ecological niche modelling, which can aid in evaluating the probability that Earth-like life would survive in extraterrestrial environments. Population ecology provides a gamut of models on the consequences of dispersal, and if lithopanspermia can be validated as a form of space dispersal for life, then metabiospheres and similar astrobiological models could be developed to understand such complex structure and dynamics. From community ecology, the discussion of habitability should include the concept of true vacant habitats (a misnomer, perhaps better called 'will-dwells') and contributions from the blossoming field of microbial ecology. Understanding ecosystems by focusing on abiotic properties is also key to extrapolating from analogue environments on Earth to extraterrestrial ones. Energy sources and their distribution are relevant for ecological gradients, such as the biodiversity latitudinal gradient ─ would tropics be species-rich in other inhabited planets? Finally, biosphere ecology deals with integration and feedback between living and non-living systems, which can generate stabilized near-optimal planetary conditions (Gaia); but would this work for other inhabited planets? Are there 'strong' (like Earth) and 'weak' (perhaps like Mars) biospheres? We hope to show ecology can contribute relevant ideas to the interdisciplinary field of astrobiology, helping conceptualize further levels of integration. We encourage new partnerships and for astrobiologists to take ecology into account when studying the origin, evolution and distribution of life in the universe.","['Meurer, Juliana Campos', 'Haqq-Misra, Jacob', 'Mendonça, Milton de Souza, Jr.']",['10.1017/S1473550423000265'],International Journal of Astrobiology,['Astroecology: bridging the gap between ecology and astrobiology'],2024,6,cites_2014IJAsB..13...81P
2017SSRv..209...43M,"Scientists use the Earth as a tool for astrobiology by analyzing planetary field analogues (i.e. terrestrial samples and field sites that resemble planetary bodies in our Solar System). In addition, they expose the selected planetary field analogues in simulation chambers to conditions that mimic the ones of planets, moons and Low Earth Orbit (LEO) space conditions, as well as the chemistry occurring in interstellar and cometary ices. This paper reviews the ways the Earth is used by astrobiologists: (i) by conducting planetary field analogue studies to investigate extant life from extreme environments, its metabolisms, adaptation strategies and modern biosignatures; (ii) by conducting planetary field analogue studies to investigate extinct life from the oldest rocks on our planet and its biosignatures; (iii) by exposing terrestrial samples to simulated space or planetary environments and producing a sample analogue to investigate changes in minerals, biosignatures and microorganisms. The European Space Agency (ESA) created a topical team in 2011 to investigate recent activities using the Earth as a tool for astrobiology and to formulate recommendations and scientific needs to improve ground-based astrobiological research. Space is an important tool for astrobiology (see Horneck et al. in Astrobiology, 16:201-243, 2016; Cottin et al., 2017), but access to space is limited. Complementing research on Earth provides fast access, more replications and higher sample throughput. The major conclusions of the topical team and suggestions for the future include more scientifically qualified calls for field campaigns with planetary analogy, and a centralized point of contact at ESA or the EU for the organization of a survey of such expeditions. An improvement of the coordinated logistics, infrastructures and funding system supporting the combination of field work with planetary simulation investigations, as well as an optimization of the scientific return and data processing, data storage and data distribution is also needed. Finally, a coordinated EU or ESA education and outreach program would improve the participation of the public in the astrobiological activities.","['Martins, Zita', 'Cottin, Hervé', 'Kotler, Julia Michelle', 'Carrasco, Nathalie', 'Cockell, Charles S.', 'de la Torre Noetzel, Rosa', 'Demets, René', 'de Vera, Jean-Pierre', ""d'Hendecourt, Louis"", 'Ehrenfreund, Pascale', 'Elsaesser, Andreas', 'Foing, Bernard', 'Onofri, Silvano', 'Quinn, Richard', 'Rabbow, Elke', 'Rettberg, Petra', 'Ricco, Antonio J.', 'Slenzka, Klaus', 'Stalport, Fabien', 'ten Kate, Inge L.', 'van Loon, Jack J. W. A.', 'Westall, Frances']",['10.1007/s11214-017-0369-1'],Space Science Reviews,['Earth as a Tool for Astrobiology—A European Perspective'],2017,58,cites_2014IJAsB..13...81P
2019ApJ...883..143L,"We show that the total habitable volume in the atmospheres of cool brown dwarfs with effective temperatures of ∼250-350 K is possibly larger by 2 orders of magnitude than that of Earth-like planets. We also study the role of aerosols, nutrients, and photosynthesis in facilitating life in brown dwarf atmospheres. Our predictions might be testable through searches for spectral edges in the near-infrared and chemical disequilibrium in the atmospheres of nearby brown dwarfs that are either free-floating or within several au of stars. For the latter category, we find that the James Webb Space Telescope may be able to achieve a signal-to-noise ratio of ∼5 after a few hours of integration time per source for the detection of biogenic spectral features in ∼10<SUP>3</SUP> cool brown dwarfs.","['Lingam, Manasvi', 'Loeb, Abraham']","['10.3847/1538-4357/ab3f35', '10.48550/arXiv.1905.11410']",The Astrophysical Journal,['Brown Dwarf Atmospheres as the Potentially Most Detectable and Abundant Sites for Life'],2019,23,cites_2014IJAsB..13...81P
2025P&SS..26806200P,"The exploration of icy moons in the solar system marks a new chapter in the search for extraterrestrial life, with next-generation missions targeting these promising environments. Cassini's flybys of Enceladus revealed a global subsurface ocean containing organic compounds and biologically available nitrogen, suggesting potential conditions for life as we know it. Other moons with subsurface oceans, such as Europa, Titan, Ganymede, and Callisto, are now considered more common in the cosmos than once believed. Enceladus thus provides a critical platform for advancing astrobiological research and technology. Given the challenges of space exploration, Earth-based (both in-situ and laboratory) experiments are crucial for interpreting remote data and understanding icy moon processes. Terrestrial hydrothermal sites, similar to those expected on Enceladus, shed light on the origins and preservation of life, expanding our knowledge of the habitability concept. Microbial extremophiles thriving in these environments allow to refine life's boundaries and support the search for life elsewhere. In this context, the MICROICY project aims to: (i) study microbial communities in the Strýtan alkaline shallow-water hydrothermal vents in Iceland, analogues to Enceladus' hydrothermal vents; (ii) assess the adaptation mechanisms of extremophiles under Enceladus-like conditions; and (iii) detect gas biosignatures of microbial activity using a mass spectrometry detector. These findings will support the use of gas biosignatures in next-generation astrobiology missions, advancing the exploration of Enceladus and other icy moons.","['Pacelli, C.', 'Cassaro, A.', 'Cocola, L.', 'Cordone, A.', 'Del Bianco, M.', 'Esposito, M.', 'Ferranti, F.', 'Ferrara, M.', 'Giovannelli, D.', 'Manfrin, L.', 'Parca, L.', 'Poletto, L.', 'Tonietti, L.', 'Zinzi, A.']",['10.1016/j.pss.2025.106200'],Planetary and Space Science,['MICROorganisms under simulated ICY moon environments: supporting solar system exploration (MICRO ICY project)'],2025,1,cites_2014IJAsB..13...81P
2026IJAsB..25..e10B,"Extreme environments are places where sustaining life is considered challenging by human standards due to harmful environmental conditions. In the last decades, these kinds of environments have awakened the interest of planetary scientists due to their similar conditions to extraplanetary bodies. Most of the research done in extreme environments has been conducted in the North American and Eurasian regions, while in Latin America only the most outstanding places have been explored, even though the region hosts numerous and varied extreme environments. The primary aim of this review is to present an extensive catalogue of around 300 extreme environments in Latin America. We classify them into deserts and semi-arid environments, geothermal and hydrothermal environments, glaciers and high mountain environments and hypersaline environments. Our review found that a great number of those environments remain unexplored or partially studied; however, many of those environments show multi-extreme features, becoming suitable to conduct astrobiology experiments such as biosignatures detection or planetary analogue missions. This review brings to current and future researchers a summary of the environmental properties of each place and their respective locations, to promote astrobiology and planetary science research in Latin America.","['Bolivar-Torres, Hermes Hernan', 'Suárez-Valencia, Javier Eduardo', 'Ramos-Madrigal, Cristal', 'Corzo-Acosta, Julian Andreas', 'Reyes-Ayala, Karen Itzel', 'Delgado-Correal, Camilo', 'Jimeno-Ruiz, Nicole', 'Gámez-López, Miguel Enrique', 'Romero-Diaz, Laura', 'Rodríguez-Ramírez, Ivonne']","['10.1017/S1473550426100330', '10.31223/x5df0m']",International Journal of Astrobiology,['Extreme environments of Latin America: natural laboratories for astrobiology'],2026,0,cites_2014IJAsB..13...81P
2023ESRv..24304491D,"Clay minerals, or analogously phyllosilicates, are some of the most astonishing minerals ever discovered on Mars due to their roles as indicators of water-rock interaction. Their types, abundances, and locations provide hints to ancient environmental conditions of Mars and to the possible places where present-day mineral-bound water and/or biosignatures are likely to be detected. In this contribution, the definition, structures, and hydrated states, the global distribution and formation mechanisms, the significance of occurrence, and the developing detection techniques of clay minerals on Mars are summarized and discussed. The definition and structure-based classification of martian clay minerals build upon their Earth analogues; some martian clay minerals contain less water in their structure and thus exhibit smaller interlayer spacings. Clay minerals on Mars have been widely detected in ancient terrains of Noachian and Early Hesperian age (&gt;3.5 Ga) across the planet. They have been formed mainly by chemical weathering, sedimentation, and hydrothermal alteration, at the surface or in the subsurface. Many techniques, including telescopic observations from Earth, remote sensing from Mars orbiters, in-situ characterizations by Mars landers/rovers, and lab studies of martian meteorites and terrestrial analogues and geochemical modeling, have been developed to detect, identify and further understand clay minerals on Mars. Among these techniques, visible and near-infrared reflectance spectroscopy onboard orbiters is the most powerful at global or regional scales while in-situ X-ray diffraction is the most definitive at a much smaller scale. The occurrence of clay minerals on Mars provides evidence for the presence of liquid water, the evolving geological alterations under varied environments and climates, and the potential habitability. Clay minerals on their own can serve as water sources for rocket fuel, human exploration, and immigration. Although many revolutionary advances have been made on martian clay minerals, many intriguing questions remain, including but not limited to the precise identification and quantification of clay minerals, the effects of impact on the detection of clay minerals, the formation and preservation of short-range ordered clay minerals, the co-occurrence of clay minerals and other secondary minerals, and the detection of clay minerals beyond Earth and Mars.","['Du, Peixin', 'Yuan, Peng', 'Liu, Jiacheng', 'Ye, Binlong']",['10.1016/j.earscirev.2023.104491'],Earth Science Reviews,['Clay minerals on Mars: An up-to-date review with future perspectives'],2023,21,cites_2014IJAsB..13...81P
2026P&SS..27306258L,"Arctic gossans are considered relevant Mars analogues due to their geochemical and mineralogical similarities. Forming in near-surface environments and known to preserve signs of life, they are of significant astrobiological interest. The Terrestrial Mineral Analysis by Remote Sensing (T-MARS) project investigated gossans at Expedition Fiord on Axel Heiberg Island (Nunavut, Canada) to (1) characterize their geochemistry and mineralogy, (2) understand their formation, (3) develop strategies for detecting similar features on Earth and on Mars, and (4) detect potential biosignatures. Orbital, drone-based, and ground imagery were used alongside laboratory analyses of surface and subsurface samples. Analytical techniques included X-ray fluorescence, X-ray diffraction, visible to thermal infrared spectroscopy, Raman spectroscopy and gas chromatography─mass spectrometry. Principal component analysis and supervised classification of orbital imagery effectively detected gossans. Field imaging provided outcrop-scale context. Elemental and spectroscopic analyses revealed mineral assemblages and oxidation gradients typical of gossans. Twenty-four minerals, organic carbon, and potential lipid biosignatures were detected. Our analyses suggest that gossans formed from the alteration of primary sulfides in diabase/gabbro sills or rafts, or from solubilized sulfates in nearby evaporites via a paleohydrothermal system. Diapirism likely facilitated fluid flow. Gossans continue to form contemporaneously within the active layer of the permafrost. The multi-scale approach used here proved effective and adaptable for planetary exploration. Future studies should aim to identify regions with gossan potential on Mars, which may require targeting faulted regions where fluids interacted with sulfur-bearing material. Future work should also aim to better understand the microbial communities inhabiting gossans.","['Lemelin, Myriam', 'Williamson, Marie-Claude', 'Léveillé, Richard', 'Belleau-Magnat, Gaëlle', 'Brassard, Éloïse', 'Aoid, Hiba', 'Fauconnier, Basile-Vladimir', 'Douglas, Peter M. J.', 'Lachance, Stéphanie', 'Marion, Cassandra L.', 'Castillo-Guimond, Levin', 'Clark, Sean']",['10.1016/j.pss.2026.106258'],Planetary and Space Science,"['Reactive gossans as iron-rich Mars analogue environments of astrobiological interest, Axel Heiberg Island, Nunavut']",2026,0,cites_2014IJAsB..13...81P
2018AsBio..18....1C,"Earth's biological and environmental evolution are intertwined and inseparable. This coevolution has become a fundamental concept in astrobiology and is key to the search for life beyond our planet. In the case of Mars, whether a coevolution took place is unknown, but analyzing the factors at play shows the uniqueness of each planetary experiment regardless of similarities. Early Earth and early Mars shared traits. However, biological processes on Mars, if any, would have had to proceed within the distinctive context of an irreversible atmospheric collapse, greater climate variability, and specific planetary characteristics. In that, Mars is an important test bed for comparing the effects of a unique set of spatiotemporal changes on an Earth-like, yet different, planet. Many questions remain unanswered about Mars' early environment. Nevertheless, existing data sets provide a foundation for an intellectual framework where notional coevolution models can be explored. In this framework, the focus is shifted from planetary-scale habitability to the prospect of habitats, microbial ecotones, pathways to biological dispersal, biomass repositories, and their meaning for exploration. Critically, as we search for biosignatures, this focus demonstrates the importance of starting to think of early Mars as a biosphere and vigorously integrating an ecosystem approach to landing site selection and exploration.","['Cabrol, Nathalie A.']",['10.1089/ast.2017.1756'],Astrobiology,['The Coevolution of Life and Environment on Mars: An Ecosystem Perspective on the Robotic Exploration of Biosignatures'],2018,39,cites_2014IJAsB..13...81P
2015Life....5.1652T,"Among all known microbes capable of thriving under extreme and, therefore, potentially extraterrestrial environmental conditions, methanogens from the domain Archaea are intriguing organisms. This is due to their broad metabolic versatility, enormous diversity, and ability to grow under extreme environmental conditions. Several studies revealed that growth conditions of methanogens are compatible with environmental conditions on extraterrestrial bodies throughout the Solar System. Hence, life in the Solar System might not be limited to the classical habitable zone. In this contribution we assess the main ecophysiological characteristics of methanogens and compare these to the environmental conditions of putative habitats in the Solar System, in particular Mars and icy moons. Eventually, we give an outlook on the feasibility and the necessity of future astrobiological studies concerning methanogens.","['Taubner, Ruth-Sophie', 'Schleper, Christa', 'Firneis, Maria G.', 'Rittmann, Simon K.-M. R.']",['10.3390/life5041652'],Life,['Assessing the Ecophysiology of Methanogens in the Context of Recent Astrobiological and Planetological Studies'],2015,35,cites_2014IJAsB..13...81P
